label,message
ham,Y lei?
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
ham,Id onluy matters when getting on from offcampus
ham,Okie...
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
ham,K I'll take care of it
ham,By monday next week. Give me the full gist
ham,Quite lor. But dun tell him wait he get complacent...
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
ham,S but mostly not like that.
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Argh why the fuck is nobody in town ;_;
ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.."
ham,Yes:)here tv is always available in work place..
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
ham,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? "
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,I wont do anything de.
ham,"Ok, be careful ! Don't text and drive !"
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,Haha... can... But i'm having dinner with my cousin...
spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,See you there! 
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,K then 2marrow are you coming to class.
ham,Are you willing to go for apps class.
ham,O. Guess they both got screwd
ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Wife.how she knew the time of murder exactly
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
ham,"Sorry, I'll call later"
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,Havent still waitin as usual... Ü come back sch oredi?
ham,"Sorry, I'll call later"
ham,"Yeah, probably here for a while"
spam,Call FREEPHONE 0800 542 0578 now!
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
ham,Ryder unsold.now gibbs.
ham,Is there any training tomorrow?
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
ham,Where are you ? You said you would be here when I woke ... :-(
ham,I'm fine. Hope you are good. Do take care.
ham,No de.am seeing in online shop so that i asked.
ham,First answer my question.
ham,"Yeah, probably earlier than that"
ham,S...i will take mokka players only:)
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
ham,O ic lol. Should play 9 doors sometime yo
ham,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
ham,"Cool, I'll text you when I'm on the way"
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
ham,Ya even those cookies have jelly on them
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,I come n pick ü up... Come out immediately aft ur lesson...
ham,Actually I decided I was too hungry so I haven't left yet :V
ham,Are you free now?can i call now?
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"Sorry, I'll call later"
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,Ok... U enjoy ur shows...
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,Omg it could snow here tonite!
ham,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits"
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
ham,Just finished eating. Got u a plate. NOT leftovers this time.
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,What your plan for pongal?
ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 
ham,"Sir, I need AXIS BANK account no and bank address."
ham,How? Izzit still raining?
ham,Y de asking like this.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Great comedy..cant stop laughing da:)
ham,"St andre, virgil's cream"
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
ham,"Okay, good, no problem, and thanx!"
ham,Why did I wake up on my own &gt;:(
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Now am free call me pa.
spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Can you do a mag meeting this avo at some point?
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,Do you always celebrate NY's with your family ?
ham,:) 
ham,I only haf msn. It's yijue@hotmail.com
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,Dear where you will be when i reach there
ham,"I'm not sure, I was just checking out what was happening around the area"
ham,U still havent got urself a jacket ah?
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,So u workin overtime nigpun?
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,Why you Dint come with us.
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,We have to pick rayan macleran there.
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,"I just got home babe, are you still awake ?"
ham,Que pases un buen tiempo or something like that
ham,"It's that time of the week again, ryan"
ham,Wot is u up 2 then bitch?
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,"Jus chillaxin, what up"
ham,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx"
ham,So i'm doing a list of buyers.
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Idea will soon get converted to live:)
ham,I love to cuddle! I want to hold you in my strong arms right now...
ham,Did u got that persons story
ham,Why didn't u call on your lunch?
ham,U sure u can't take any sick time?
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
ham,At home also.
ham,Er yep sure. Props?
ham,How much would it cost to hire a hitman
ham,"Damn, poor zac doesn't stand a chance"
ham,I accidentally brought em home in the box
ham,Thnx dude. u guys out 2nite?
ham,But you dint in touch with me.
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
ham,No screaming means shouting..
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,On the way to office da..
ham,Still i have not checked it da. . .
ham,Also remember the beads don't come off. Ever.
ham,Nope i waiting in sch 4 daddy... 
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,I called and said all to him:)then he have to choose this future.
ham,There is no sense in my foot and penis.
ham,"Sorry, I'll call later"
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,I'm e person who's doing e sms survey...
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,"Sure, whenever you show the fuck up &gt;:("
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
ham,Dear how you. Are you ok?
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Ok. So april. Cant wait
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Aight what time you want me to come up?
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,Then any special there?
ham,Ü comin to fetch us oredi...
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Ü takin linear algebra today?
ham,I am on the way to ur home
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,Sindu got job in birla soft ..
ham,Lemme know when you're here
ham,Or ill be a little closer like at the bus stop on the same street
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
ham,I am on the way to tirupur.
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,Ok then i will come to ur home after half an hour
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,Yup ü not comin :-(
ham,You've always been the brainy one.
ham,Yay! You better not have told that to 5 other girls either.
ham,Lol no. U can trust me.
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,"He will, you guys close?"
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
ham,"Aight no rush, I'll ask jay"
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,I told your number to gautham..
ham,"K so am I, how much for an 8th? Fifty?"
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
ham,Poor girl can't go one day lmao
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,Pls help me tell Ashley that i cant find her number oh
ham,"Nah man, my car is meant to be crammed full of people"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
ham,Hey what are you doing. Y no reply pa..
